CALENDAR_YEAR,LOCATION_ID,LOCATION,ETHNICITY,EXPERIENCING_HOMELESSNESS
2018,CA-521,Yolo County CoC,Hispanic/Latinx,312
2018,CA-521,Yolo County CoC,Not Hispanic/Latinx,609
2018,CA-521,Yolo County CoC,Unknown,24
2018,CA-522,Humboldt County CoC,Hispanic/Latinx,149
2018,CA-522,Humboldt County CoC,Not Hispanic/Latinx,820
2018,CA-522,Humboldt County CoC,Unknown,79
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Hispanic/Latinx,151
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Not Hispanic/Latinx,198
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Unknown,*
2018,CA-524,"Yuba, Sutter Counties CoC",Not Hispanic/Latinx,*
2018,CA-525,El Dorado County CoC,Hispanic/Latinx,47
2018,CA-525,El Dorado County CoC,Not Hispanic/Latinx,189
2018,CA-525,El Dorado County CoC,Unknown,15
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Hispanic/Latinx,82
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Not Hispanic/Latinx,331
2018,CA-527,Tehama County CoC,Hispanic/Latinx,71
2018,CA-527,Tehama County CoC,Not Hispanic/Latinx,340
2018,CA-527,Tehama County CoC,Unknown,*
2018,CA-529,Lake County CoC,Hispanic/Latinx,24
2018,CA-529,Lake County CoC,Not Hispanic/Latinx,67
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",Hispanic/Latinx,57
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",Not Hispanic/Latinx,162
2018,CA-531,Nevada County CoC,Hispanic/Latinx,51
2018,CA-531,Nevada County CoC,Not Hispanic/Latinx,493
2018,CA-531,Nevada County CoC,Unknown,*
2018,CA-600,Los Angeles County CoC,Hispanic/Latinx,25089
2018,CA-600,Los Angeles County CoC,Not Hispanic/Latinx,47558
2018,CA-600,Los Angeles County CoC,Unknown,3087
2018,CA-601,San Diego County CoC,Hispanic/Latinx,4578
2018,CA-601,San Diego County CoC,Not Hispanic/Latinx,10405
2018,CA-601,San Diego County CoC,Unknown,223
2018,CA-602,Orange County CoC,Hispanic/Latinx,4972
2018,CA-602,Orange County CoC,Not Hispanic/Latinx,6887
2018,CA-602,Orange County CoC,Unknown,159
2018,CA-603,Santa Barbara County CoC,Hispanic/Latinx,1121
2018,CA-603,Santa Barbara County CoC,Not Hispanic/Latinx,1419
2018,CA-603,Santa Barbara County CoC,Unknown,163
2018,CA-604,Kern County CoC,Hispanic/Latinx,1692
2018,CA-604,Kern County CoC,Not Hispanic/Latinx,3133
2018,CA-604,Kern County CoC,Unknown,*
2018,CA-606,Long Beach CoC (Los Angeles County),Hispanic/Latinx,642
2018,CA-606,Long Beach CoC (Los Angeles County),Not Hispanic/Latinx,2057
2018,CA-606,Long Beach CoC (Los Angeles County),Unknown,11
2018,CA-607,Pasadena CoC (Los Angeles County),Hispanic/Latinx,569
2018,CA-607,Pasadena CoC (Los Angeles County),Not Hispanic/Latinx,793
2018,CA-607,Pasadena CoC (Los Angeles County),Unknown,11
2018,CA-608,Riverside County CoC,Hispanic/Latinx,2764
2018,CA-608,Riverside County CoC,Not Hispanic/Latinx,4360
2018,CA-608,Riverside County CoC,Unknown,36
2018,CA-609,San Bernardino County CoC,Hispanic/Latinx,2729
2018,CA-609,San Bernardino County CoC,Not Hispanic/Latinx,4894
2018,CA-609,San Bernardino County CoC,Unknown,*
2018,CA-611,Ventura County CoC,Hispanic/Latinx,886
2018,CA-611,Ventura County CoC,Not Hispanic/Latinx,852
2018,CA-611,Ventura County CoC,Unknown,*
2018,CA-612,Glendale CoC (Los Angeles County),Hispanic/Latinx,183
